Week 1,Time,Field,Matchup,"",Ref
5/19/2016,6:30,1,"Pitch, Please",Balls and Dolls,Can I Kick It?
"","",2,Sons O' Pitches,Boot By the Foot,Unstoppaballs
"","",3,Straight Ballin',Kickers of Balls,DTF (Down To Flip)
"","",4,Kick This,Moves Like Kick Jagger,Uncontrollable Runs
"",7:30,1,Out Of Your League,Uncontrollable Runs,Balls and Dolls
"","",2,Can I Kick It?,DTF (Down To Flip),Kick This
"","",3,Off In The Shower,New Kicks On The Block,Boot By the Foot
"","",4,Unstoppaballs,Kick Tease,"Pitch, Please"
Week 2,Time,Field,Matchup,"",Ref
5/26/2016,6:30,1,Can I Kick It?,Kick Tease,Balls and Dolls
"","",2,New Kicks On The Block,Out Of Your League,Straight Ballin'
"","",3,Kickers of Balls,Sons O' Pitches,"Pitch, Please"
"","",4,Off In The Shower,Uncontrollable Runs,Moves Like Kick Jagger
"",7:30,1,Boot By the Foot,Kick This,Kickers of Balls
"","",2,Balls and Dolls,DTF (Down To Flip),Sons O' Pitches
"","",3,Straight Ballin',Moves Like Kick Jagger,Out Of Your League
"","",4,"Pitch, Please",Unstoppaballs,New Kicks On The Block
Week 3,Time,Field,Matchup,"",Ref
6/2/2016,6:30,1,Sons O' Pitches,Off In The Shower,Kick Tease
"","",2,Boot By the Foot,DTF (Down To Flip),Moves Like Kick Jagger
"","",3,"Pitch, Please",Can I Kick It?,New Kicks On The Block
"","",4,Uncontrollable Runs,Unstoppaballs,Kickers of Balls
"",7:30,1,Straight Ballin',Out Of Your League,Unstoppaballs
"","",2,Balls and Dolls,Kickers of Balls,Can I Kick It?
"","",3,Kick Tease,Kick This,Uncontrollable Runs
"","",4,New Kicks On The Block,Moves Like Kick Jagger,DTF (Down To Flip)
Week 4,Time,Field,Matchup,"",Ref
6/9/2016,6:30,1,Can I Kick It?,Unstoppaballs,Kick This
"","",2,Out Of Your League,DTF (Down To Flip),Uncontrollable Runs
"","",3,Kick Tease,Boot By the Foot,Sons O' Pitches
"","",4,New Kicks On The Block,Balls and Dolls,Off In The Shower
"",7:30,1,Straight Ballin',Off In The Shower,Kick Tease
"","",2,Moves Like Kick Jagger,"Pitch, Please",DTF (Down To Flip)
"","",3,Sons O' Pitches,Uncontrollable Runs,Boot By the Foot
"","",4,Kickers of Balls,Kick This,Unstoppaballs
Week 5,Time,Field,Matchup,"",Ref
6/16/2016,6:30,1,Uncontrollable Runs,"Pitch, Please",DTF (Down To Flip)
"","",2,Kick Tease,Kickers of Balls,Boot By the Foot
"","",3,Off In The Shower,Out Of Your League,Straight Ballin'
"","",4,Unstoppaballs,Sons O' Pitches,Kick This
"",7:30,1,New Kicks On The Block,DTF (Down To Flip),Out Of Your League
"","",2,Can I Kick It?,Straight Ballin',Sons O' Pitches
"","",3,Boot By the Foot,Moves Like Kick Jagger,Kick Tease
"","",4,Kick This,Balls and Dolls,Off In The Shower
Week 6,Time,Field,Matchup,"",Ref
6/23/2016,6:30,1,Kick This,Off In The Shower,Sons O' Pitches
"","",2,Straight Ballin',Kick Tease,Out Of Your League
"","",3,New Kicks On The Block,Kickers of Balls,Boot By the Foot
"","",4,Balls and Dolls,Moves Like Kick Jagger,Unstoppaballs
"",7:30,1,Unstoppaballs,Boot By the Foot,Kickers of Balls
"","",2,"Pitch, Please",Sons O' Pitches,Off In The Shower
"","",3,Can I Kick It?,Out Of Your League,New Kicks On The Block
"","",4,Uncontrollable Runs,DTF (Down To Flip),Kick This
Week 7,Time,Field,Matchup,"",Ref
7/7/2016,6:30,1,DTF (Down To Flip),Moves Like Kick Jagger,Can I Kick It?
"","",2,Kick This,Straight Ballin',Kick Tease
"","",3,Uncontrollable Runs,Balls and Dolls,New Kicks On The Block
"","",4,Unstoppaballs,Out Of Your League,"Pitch, Please"
"",7:30,1,New Kicks On The Block,Kick Tease,Straight Ballin'
"","",2,Sons O' Pitches,Can I Kick It?,Moves Like Kick Jagger
"","",3,Kickers of Balls,Off In The Shower,Balls and Dolls
"","",4,"Pitch, Please",Boot By the Foot,Uncontrollable Runs
Week 8,Time,Field,Matchup,"",Ref
7/14/2016,6:30,1,DTF (Down To Flip),Kick This,Off In The Shower
"","",2,New Kicks On The Block,"Pitch, Please",Balls and Dolls
"","",3,Boot By the Foot,Straight Ballin',Kickers of Balls
"","",4,Moves Like Kick Jagger,Can I Kick It?,Out Of Your League
"",7:30,1,Kick Tease,Off In The Shower,Straight Ballin'
"","",2,Unstoppaballs,Balls and Dolls,"Pitch, Please"
"","",3,Uncontrollable Runs,Kickers of Balls,Can I Kick It?
"","",4,Sons O' Pitches,Out Of Your League,Moves Like Kick Jagger
